Brand,Store Name,Address,City,State,Zipcode,Phone,Latitude,Longitude
McDonald's,McDonald's - Stayton,1988 Shaff Rd,Stayton,OR,97383,(503) 769-4552,44.809491,-122.814058
McDonald's,McDonald's - Howell,2205 W Grand River Rd,Howell,MI,48843,(517) 545-7777,42.614258,-83.959404
McDonald's,McDonald's - Linton,St Rd 54 E,Linton,IN,47441,(812) 847-2767,39.038269,-87.146076
McDonald's,McDonald's - San Marcos,4060 S Interstate 35,San Marcos,TX,78666,(512) 392-2772,29.827162,-97.987476
McDonald's,McDonald's - San Jose,5122 Stevens Creek Blvd,San Jose,CA,95129,(408) 554-0883,37.322662,-121.992832
McDonald's,McDonald's - Wauconda,511 W Liberty St,Wauconda,IL,60084-2470,(847) 526-0288,42.258071,-88.15193
McDonald's,McDonald's - West Monroe,202 Thomas Rd,West Monroe,LA,71291-7361,(318) 388-2227,32.512487,-92.157824
McDonald's,McDonald's - Kuna,1311 N Meridian Road,Kuna,ID,83634,(208) 922-4766,43.500153,-116.394511
McDonald's,McDonald's - Chesapeake,209 Hillcrest Parkway,Chesapeake,VA,23322,(757) 432-8800,36.655283,-76.231613
McDonald's,McDonald's - Santee,8876 Cuyamaca St,Santee,CA,92071-4219,(619) 449-9950,32.837892,-116.984106
McDonald's,McDonald's - Waupun,932 E Main St,Waupun,WI,53963-1502,(920) 324-4937,43.633641,-88.717614
McDonald's,McDonald's - San Antonio,4720 Broadway Street,San Antonio,TX,78209-6216,(210) 828-4802,29.469971,-98.463164
McDonald's,McDonald's - Anacortes,1301 Commercial St,Anacortes,WA,98221-2139,(360) 293-7807,48.511301,-122.612157
McDonald's,McDonald's - Newcastle,3254 Hill Star Drive,Newcastle,OK,73065,(405) 387-5888,35.291479,-97.607594
McDonald's,McDonald's - San Antonio,25200 Interstate 10 W Lot 2,San Antonio,TX,78257,(210) 687-1232,29.676004,-98.634366
McDonald's,McDonald's - Little Rock,8820 Baseline Rd,Little Rock,AR,72209,(501) 565-7003,34.670564,-92.376906
McDonald's,McDonald's - Hollywood,1133 N La Brea Ave,Hollywood,CA,90038,(323) 876-8844,34.091675,-118.344559
McDonald's,McDonald's - Marysville,10510 Quil Ceda Blvd,Marysville,WA,98271,(360) 716-2964,48.090954,-122.186255
McDonald's,McDonald's - Kahului,155 Puunene Ave,Kahului,HI,96732-2403,(808) 871-2198,20.887603,-156.465045
McDonald's,McDonald's - Big Rapids,1020 S State St,Big Rapids,MI,49307-2254,(231) 796-3655,43.685862,-85.484248
McDonald's,McDonald's - Bayonne,537 Broadway,Bayonne,NJ,7002,(201) 858-9054,40.665562,-74.11721
McDonald's,McDonald's - Evans,4264 Washington Road,Evans,GA,30809,(706) 651-9292,33.533195,-82.125914
McDonald's,McDonald's - Williamsburg,329 2nd St,Williamsburg,VA,23185,(757) 220-0630,37.273076,-76.683198
McDonald's,McDonald's - Wyomissing,8th & Hill Ave,Wyomissing,PA,19610,(610) 372-2298,40.336586,-75.954262
McDonald's,McDonald's - Louisville,520 N 22nd,Louisville,KY,40203,(502) 775-5454,38.267331,-85.783496
McDonald's,McDonald's - New Castle,101 South Dupont Highway,New Castle,DE,19720,(302) 322-3798,39.665047,-75.605552
McDonald's,McDonald's - Columbia,2015 Bluff Road,Columbia,SC,29201,(803) 252-4727,33.95358,-80.99323
McDonald's,McDonald's - Carthage,2812 Hazel Ave,Carthage,MO,64836,(417) 359-5353,37.139789,-94.319054
McDonald's,McDonald's - Odessa,1901 County Road Fm 1882,Odessa,TX,79763,(432) 332-3481,31.817514,-102.380939
McDonald's,McDonald's - Hamden,2320 Dixwell Ave,Hamden,CT,6514,(203) 230-8116,41.373123,-72.917156
McDonald's,McDonald's - Half Moon Bay,100 N Cabrillo Hwy,Half Moon Bay,CA,94019-1609,(650) 726-1222,37.470356,-122.434441
McDonald's,McDonald's - Jackson,546 E 3rd St,Jackson,GA,30233,(770) 775-1566,33.294177,-83.960741
McDonald's,McDonald's - Oak Ridge,8000-G Market Place Drive,Oak Ridge,NC,27310,(336) 644-8951,36.172107,-79.98889
McDonald's,McDonald's - Pittsburg,3008 North Broadway,Pittsburg,KS,66762-2631,(620) 231-0560,37.437856,-94.704263
McDonald's,McDonald's - Racine,2100 Lathrop Ave,Racine,WI,53405-4135,(262) 554-1100,42.703697,-87.826356
